identifiant,module,categorie,niveau,type,enonce
INT-NAV-0001,INT,Navigation Web,facile,qcm,Quel moteur de recherche est le plus utilisé au monde ?
INT-NAV-0002,INT,Navigation Web,facile,qcm,Que signifie l'abréviation « URL » ?
INT-NAV-0003,INT,Navigation Web,facile,vrai_faux,Un cadenas fermé dans la barre d'adresse signifie que la connexion au site est sécurisée (HTTPS).
INT-NAV-0004,INT,Navigation Web,intermediaire,qcm,Quel raccourci clavier permet d'ouvrir un nouvel onglet dans la plupart des navigateurs ?
INT-REC-0001,INT,Recherche avancée,intermediaire,qcm,Vous cherchez des informations UNIQUEMENT sur le site gouv.ht. Quelle syntaxe utiliser dans Google ?
INT-OPE-0001,INT,Opérateurs de recherche,avance,qcm,Quelle recherche exclut le mot « gratuit » des résultats sur « formation informatique » ?
INT-OPE-0002,INT,Opérateurs de recherche,professionnel,reponse_courte,Quel opérateur permet de rechercher une expression EXACTE (dans l'ordre précis des mots) sur Google ?
INT-SEC-0001,INT,Sécurité numérique,facile,qcm,Quelle est la meilleure pratique face à un email demandant vos identifiants bancaires en urgence ?
INT-SEC-0002,INT,Sécurité numérique,intermediaire,vrai_faux,Utiliser le même mot de passe sur plusieurs sites est une bonne pratique pour ne pas les oublier.
INT-SEC-0003,INT,Sécurité numérique,avance,choix_multiples,"Parmi ces éléments, lesquels sont des signes d'un site potentiellement frauduleux ? (plusieurs réponses possibles)"
INT-GOO-0001,INT,Google Workspace,facile,qcm,Quel outil Google Workspace permet de créer des documents texte collaboratifs en ligne ?
INT-GOO-0002,INT,Google Workspace,intermediaire,qcm,"Dans Google Docs, comment donner à quelqu'un le droit de MODIFIER un document sans pouvoir le supprimer ?"
INT-ORG-0001,INT,Organisation des fichiers,facile,qcm,Quelle extension de fichier correspond généralement à un document PDF ?
INT-ORG-0002,INT,Organisation des fichiers,intermediaire,classement,Classez ces éléments du plus général au plus spécifique dans une organisation de dossiers.
INT-COL-0001,INT,Collaboration,intermediaire,qcm,Quel est l'avantage principal du travail collaboratif en ligne (type Google Docs) par rapport à l'envoi de fichiers par email ?
INT-PRO-0001,INT,Productivité,facile,qcm,Quelle application permet de créer des sondages et formulaires en ligne dans Google Workspace ?
INT-PRO-0002,INT,Productivité,avance,scenario_pro,"Un manager vous demande de recueillir les disponibilités de 30 collègues pour une réunion, sans échange d'emails multiples. Quel outil recommandez-vous et pourquoi ?"
INT-NAV-0005,INT,Navigation Web,professionnel,etude_cas,Un client se plaint que son navigateur affiche « Votre connexion n'est pas privée » sur le site de sa banque. Que devez-vous lui conseiller en priorité ?
INT-REC-0002,INT,Recherche avancée,facile,qcm,"Pour trouver rapidement une information récente, quel filtre Google est utile ?"
INT-GOO-0003,INT,Google Workspace,avance,qcm,Comment récupérer une version antérieure d'un document Google Docs après une modification indésirable ?
INT-SEC-0004,INT,Sécurité numérique,professionnel,reponse_courte,Quel terme désigne une authentification nécessitant deux éléments distincts (mot de passe + code SMS par exemple) ?
IA-FON-0001,IA,Fondamentaux,facile,qcm,Que signifie « IA » ?
IA-FON-0002,IA,Fondamentaux,intermediaire,vrai_faux,"ChatGPT et les IA génératives « comprennent » réellement ce qu'elles écrivent, comme un être humain."
IA-IA--0001,IA,IA générative,facile,qcm,Lequel de ces outils est une IA générative capable de produire du texte ?
IA-IA--0002,IA,IA générative,intermediaire,association,Associez chaque type d'IA générative à son usage principal.
IA-PRO-0001,IA,Prompt Engineering,intermediaire,qcm,Quel prompt (instruction) est le plus susceptible de donner une bonne réponse d'une IA générative ?
IA-PRO-0002,IA,Prompt Engineering,avance,analyse_prompt_ia,Analysez ce prompt : « Explique-moi Excel ». Quel est son principal défaut et comment l'améliorer ?
IA-PRO-0003,IA,Prompt Engineering,professionnel,completer,Complétez : Donner à l'IA un ______ (des exemples de ce que vous attendez) améliore souvent la qualité de sa réponse. C'est ce qu'on appelle le prompting « few-shot ».
IA-ETH-0001,IA,Éthique,facile,vrai_faux,Il est acceptable de soumettre à une IA générative des informations confidentielles d'une entreprise sans autorisation.
IA-ETH-0002,IA,Éthique,intermediaire,qcm,Un étudiant utilise une IA pour rédiger entièrement son devoir et le remet sans le préciser. Quel est le problème principal ?
IA-VER-0001,IA,Vérification des réponses,intermediaire,qcm,Que désigne le terme « hallucination » en intelligence artificielle générative ?
IA-VER-0002,IA,Vérification des réponses,avance,scenario_pro,"Une IA vous fournit une statistique précise (« 73,2% des entreprises... ») sans citer de source. Quelle est la bonne démarche professionnelle ?"
IA-CAS-0001,IA,Cas professionnels,intermediaire,scenario_pro,Vous devez rédiger 20 descriptions de produits similaires pour un catalogue. Comment l'IA peut-elle vous faire gagner du temps efficacement ?
IA-CAS-0002,IA,Cas professionnels,professionnel,etude_cas,Un responsable RH veut utiliser une IA pour présélectionner des CV. Quel risque éthique majeur doit-il anticiper ?
IA-AUT-0001,IA,Automatisation,facile,qcm,Quel est l'objectif principal de l'automatisation de tâches avec l'IA en entreprise ?
IA-AUT-0002,IA,Automatisation,avance,qcm,Quel type de tâche est le MOINS adapté à une automatisation complète par IA actuellement ?
IA-FON-0003,IA,Fondamentaux,avance,qcm,Quelle différence principale distingue une IA générative d'un moteur de recherche classique comme Google ?
IA-ETH-0003,IA,Éthique,professionnel,reponse_courte,Quel terme désigne le fait de citer/attribuer correctement l'usage de l'IA dans un travail académique ou professionnel ?
IA-IA--0003,IA,IA générative,professionnel,analyse_prompt_ia,Un collègue vous montre ce prompt utilisé pour générer un rapport financier : « Invente des chiffres de vente réalistes pour notre entreprise ». Quel est le problème critique ?
IA-VER-0003,IA,Vérification des réponses,facile,qcm,"Après avoir reçu une réponse d'une IA sur un sujet médical important, que devez-vous faire avant d'agir ?"
BUR-MIC-0001,BUR,Microsoft Word,facile,qcm,Quel raccourci clavier permet de mettre un texte en gras dans Word ?
BUR-MIC-0002,BUR,Microsoft Word,intermediaire,qcm,Comment insérer automatiquement une table des matières qui se met à jour dans Word ?
